id,title,houseIcon,dealDate,totalPrice,positionIcon,source,unitPrice,dealHouseTxt
21039,模式口西里 2室1厅 61.82平米,南 北 | 精装 | 无电梯,2016.03.06,175,中楼层(共6层) 1987年建板楼,链家成交,28688,3000
21040,远洋沁山水 2室1厅 88.34平米,西 | 其他 | 有电梯,2016.03.05,420,底层(共20层) 2009年建板楼,链家成交,47727,959
21041,模式口西里 3室1厅 83.45平米,南 北 | 简装 | 有电梯,2016.03.05,213,中楼层(共14层) 1988年建板塔结合,链家成交,25662,3000
21042,古城特钢楼 2室0厅 40.59平米,东 西 | 简装 | 无电梯,2016.03.05,105,中楼层(共5层) 1978年建板楼,链家成交,26250,3000
21044,远洋山水 2室2厅 115.46平米,南 北 | 精装 | 有电梯,2016.03.05,500,高楼层(共27层) 2007年建板塔结合,链家成交,43478,3000
21045,海特花园小区 2室2厅 114.57平米,南 | 精装 | 有电梯,2016.03.05,375,低楼层(共18层) 2002年建塔楼,链家成交,32894,3000
21046,碣石坪 1室1厅 57.86平米,北 | 精装 | 有电梯,2016.03.05,210,低楼层(共24层) 2004年建板塔结合,链家成交,36842,316
21047,远洋沁山水 2室1厅 86.1平米,南 北 | 精装 | 有电梯,2016.03.05,590,中楼层(共20层) 2009年建板楼,链家成交,68604,3000
21048,西引力 1室1厅 66.41平米,西 北 | 精装 | 有电梯,2016.03.05,233,中楼层(共16层) 板塔结合,链家成交,35303,771
21049,古城特钢楼 2室0厅 48.89平米,东 | 精装 | 无电梯,2016.03.04,130,中楼层(共5层) 1974年建板楼,链家成交,27083,3000
21050,金顶街一区 2室1厅 61.14平米,南 北 | 精装,2016.03.04,205,中楼层(共6层) 1980年建板楼,链家成交,33606,734
21052,永乐东区 2室1厅 65.18平米,南 北 | 精装 | 无电梯,2016.03.04,215,高楼层(共6层) 1987年建板楼,链家成交,33076,3000
21053,重兴园 2室1厅 110.63平米,东 南 | 精装 | 有电梯,2016.03.04,342,低楼层(共24层) 2002年建塔楼,链家成交,31090,3000
21056,八角北路 2室1厅 53.95平米,南 北 | 精装 | 无电梯,2016.03.03,180,低楼层(共6层) 1985年建板楼,链家成交,33962,3000
21057,杨庄北区 1室1厅 58.81平米,东 南 | 精装 | 有电梯,2016.03.03,192,低楼层(共16层) 2000年建塔楼,链家成交,33103,3000
21058,八角南里 2室1厅 69.99平米,南 | 其他 | 有电梯,2016.03.02,251,中楼层(共18层) 1996年建塔楼,链家成交,36376,1095
21060,双锦园 1室1厅 45.9平米,南 | 简装 | 有电梯,2016.03.01,172,低楼层(共16层) 2000年建板塔结合,链家成交,38222,3000
21065,五芳园 2室1厅 58.63平米,南 北 | 精装 | 无电梯,2016.03.01,205,底层(共6层) 1993年建板楼,链家成交,35344,3000
21066,天和景园 2室1厅 79.23平米,南 北 | 精装 | 有电梯,2016.02.29,295,顶层(共16层) 2008年建板楼,链家成交,37341,3000
21067,五芳园 2室1厅 63.23平米,南 北 | 精装 | 无电梯,2016.02.28,190,高楼层(共6层) 1993年建板楼,链家成交,30158,3000
21068,古城北路 2室1厅 59.24平米,东 南 北 | 精装 | 无电梯,2016.02.28,182,顶层(共6层) 1983年建板楼,链家成交,30847,1147
21069,御景山 1室1厅 66.3平米,南 北 | 精装 | 有电梯,2016.02.28,225,低楼层(共17层) 2004年建板塔结合,链家成交,34090,3000
21070,重聚园 2室1厅 102.12平米,南 西 北 | 精装 | 有电梯,2016.02.28,258,底层(共24层) 2003年建塔楼,链家成交,25294,3000
21071,远洋沁山水 1室1厅 63.94平米,南 | 精装 | 有电梯,2016.02.28,320,低楼层(共18层) 2011年建板楼,链家成交,50793,3000
21072,模式口西里 2室0厅 54.03平米,东 | 简装 | 无电梯,2016.02.28,152,底层(共6层) 1991年建板楼,链家成交,28148,3000
21079,京汉旭城三期 2室2厅 90平米,东 西 | 精装 | 有电梯,2016.02.28,360,中楼层(共8层) 板楼,链家成交,40000,3000
21080,海特花园小区 1室1厅 74.95平米,南 北 | 简装 | 有电梯,2016.02.28,210,中楼层(共12层) 1994年建板塔结合,链家成交,28378,3000
21081,御景山 1室1厅 68平米,东 西 | 精装 | 有电梯,2016.02.28,245,低楼层(共15层) 板塔结合,链家成交,36029,3000
21082,雍景四季 1室1厅 84.8平米,西 北 | 精装 | 有电梯,2016.02.28,330,中楼层(共23层) 2009年建板塔结合,链家成交,39285,3000
21084,重兴园 2室1厅 98.1平米,南 北 | 其他 | 无电梯,2016.02.28,370,中楼层(共6层) 2003年建板楼,链家成交,37755,3000
21086,永乐西区 2室1厅 61.79平米,南 北 | 精装 | 无电梯,2016.02.27,195,顶层(共6层) 1993年建板楼,链家成交,31967,3000
21087,远洋沁山水 3室2厅 138.63平米,南 北 | 精装 | 有电梯,2016.02.26,860,低楼层(共18层) 2011年建板楼,链家成交,62318,1013
21088,融景城 3室2厅 176.93平米,南 北 | 其他 | 有电梯,2016.02.26,725,高楼层(共17层) 2011年建板塔结合,链家成交,41193,3000
21089,聚兴园 2室1厅 95.84平米,南 北 | 精装 | 有电梯,2016.02.26,378,高楼层(共13层) 2005年建板塔结合,链家成交,39789,3000
21090,远洋沁山水 3室2厅 139.66平米,南 北 | 精装 | 有电梯,2016.02.25,830,顶层(共21层) 2009年建板塔结合,链家成交,59712,959
21091,五芳园 1室1厅 43.46平米,南 | 其他 | 无电梯,2016.02.25,148,底层(共6层) 1993年建板楼,链家成交,34418,3000
21093,曦景长安 1室1厅 62.12平米,南 | 精装 | 有电梯,2016.02.25,235,高楼层(共14层) 板塔结合,链家成交,37903,596
