id,unitPrice,totalPrice,houseSize,dealHouseTxt,elevator,decorate,window,floorHight,lat,lng,room,area,hall
152,96153,500,52,1077,1,1,1,2,39.879987,116.444779,2,1,1
153,102380,430,42,664,0,1,1,2,39.892211,116.433645,1,1,1
154,83035,465,56,579,0,1,2,2,39.885945,116.43374,1,1,1
155,108333,520,48,3000,0,0,2,2,39.926446,116.414013,2,1,1
156,101587,640,63,684,0,0,2,1,39.900031,116.412665,2,1,1
157,98913,910,92,733,1,0,2,3,39.9015,116.432085,3,1,1
158,121153,945,78,3000,1,0,3,1,39.957905,116.406775,3,1,1
159,97209,418,43,831,1,1,1,2,39.981841,116.413652,1,3,1
160,114788,815,71,621,1,1,1,2,39.950761,116.435299,2,1,1
161,87096,1350,155,3000,1,1,2,4,39.906171,116.452005,4,1,1
162,84722,305,36,487,0,0,1,2,39.870326,116.418109,1,1,1
163,112804,925,82,3000,0,0,3,1,39.93363,116.432632,2,1,1
164,105087,599,57,1003,0,1,2,1,39.920073,116.435373,2,1,1
165,112820,880,78,248,1,1,1,2,39.925362,116.422556,3,1,1
166,75301,625,83,668,1,1,1,2,39.869865,116.402298,2,1,1
167,107142,675,63,3000,1,1,2,2,39.876454,116.396984,2,1,1
168,120243,986,82,3000,0,0,2,1,39.942593,116.433982,3,1,1
169,98136,1580,161,3000,1,1,2,2,39.957122,116.405257,3,1,1
170,110937,710,64,548,1,0,2,2,39.947134,116.423216,2,1,1
171,116438,850,73,3000,1,0,2,2,39.966127,116.412795,2,1,2
172,82500,330,40,581,0,0,1,1,39.937367,116.4464,1,1,1
173,104385,595,57,748,0,0,2,1,39.905356,116.440691,2,1,1
174,122881,1450,118,907,1,0,2,2,39.951796,116.432926,2,1,2
175,102173,470,46,760,0,0,1,1,39.936588,116.446461,2,1,1
176,112222,505,45,150,0,0,1,2,39.966986,116.428124,1,1,1
177,86538,450,52,3000,1,1,1,3,39.89722,116.453888,1,1,0
178,70779,545,77,3000,0,0,2,2,39.86797,116.413896,2,1,1
179,103225,640,62,3000,1,1,2,3,39.897461,116.455287,2,1,1
180,112195,2300,205,3000,1,1,2,1,39.876454,116.396984,4,1,2
181,123333,740,60,854,1,1,1,2,39.904564,116.452179,1,1,1
182,151851,410,27,447,1,1,1,2,39.9015,116.432085,1,1,0
183,100731,413,41,592,0,0,1,2,39.968409,116.437634,1,3,1
184,130689,379,29,3000,1,1,1,1,39.901724,116.420519,1,1,0
185,108695,500,46,3000,1,0,1,3,39.903108,116.443505,1,1,1
186,111111,700,63,3000,1,1,2,1,39.876454,116.396984,1,1,1
187,80612,790,98,3000,1,0,2,1,39.869884,116.41636,2,1,1
188,152127,715,47,632,1,1,1,3,39.938841,116.424786,1,1,1
189,99000,495,50,3000,0,1,2,4,39.953312,116.44224,1,1,1
190,99404,835,84,830,1,0,2,1,39.90446,116.429322,2,1,1
191,75471,400,53,378,0,0,2,1,39.870908,116.405949,2,1,1
192,151428,530,35,1011,0,0,1,1,39.95501,116.434611,1,1,1
193,112643,980,87,102,1,1,1,2,39.929918,116.437323,2,1,1
194,113475,1600,141,3000,1,0,3,1,39.90253,116.435682,3,1,2
195,96721,590,61,419,1,1,2,2,39.89722,116.453888,1,1,1
196,116666,700,60,3000,1,1,1,3,39.894271,116.448681,1,1,1
197,108955,730,67,3000,1,1,1,3,39.903108,116.443505,2,1,1
